rec,pred,f1,exp_name,N
0.9102,0.88071,0.89521,tdeer_exp3_nyt,1
0.92887,0.96338,0.94581,tdeer_exp3_nyt,2
0.94342,0.98671,0.96458,tdeer_exp3_nyt,3
0.98486,0.98062,0.98274,tdeer_exp3_nyt,4
0.95437,0.97099,0.96261,tdeer_exp3_nyt,5
0.90863,0.87317,0.89055,tdeer_exp3_webnlg,1
0.93421,0.91026,0.92208,tdeer_exp3_webnlg,2
0.96221,0.93503,0.94843,tdeer_exp3_webnlg,3
0.94389,0.97945,0.96134,tdeer_exp3_webnlg,4
0.92166,0.92593,0.92379,tdeer_exp3_webnlg,5
0.89848,0.85507,0.87624,tdeer_exp3_webnlg_with_e1,1
0.9386,0.92641,0.93247,tdeer_exp3_webnlg_with_e1,2
0.94477,0.94752,0.94614,tdeer_exp3_webnlg_with_e1,3
0.94389,0.96949,0.95652,tdeer_exp3_webnlg_with_e1,4
0.9447,0.94037,0.94253,tdeer_exp3_webnlg_with_e1,5
0.9239,0.91251,0.91817,tdeer_exp4_nyt_att_pool,1
0.92523,0.96324,0.94385,tdeer_exp4_nyt_att_pool,2
0.94573,0.975,0.96014,tdeer_exp4_nyt_att_pool,3
0.98054,0.98587,0.9832,tdeer_exp4_nyt_att_pool,4
0.94867,0.96705,0.95777,tdeer_exp4_nyt_att_pool,5
0.93486,0.91672,0.9257,tdeer_exp4_nyt_avg_pool,1
0.93302,0.96096,0.94678,tdeer_exp4_nyt_avg_pool,2
0.92379,0.97919,0.95068,tdeer_exp4_nyt_avg_pool,3
0.97405,0.98686,0.98041,tdeer_exp4_nyt_avg_pool,4
0.90875,0.98152,0.94373,tdeer_exp4_nyt_avg_pool,5
0.93303,0.91712,0.92501,tdeer_exp4_nyt_lastfour,1
0.93043,0.96344,0.94665,tdeer_exp4_nyt_lastfour,2
0.92494,0.98162,0.95244,tdeer_exp4_nyt_lastfour,3
0.97405,0.98686,0.98041,tdeer_exp4_nyt_lastfour,4
0.92015,0.96994,0.94439,tdeer_exp4_nyt_lastfour,5
0.93394,0.9131,0.9234,tdeer_exp4_nyt_second2last,1
0.92887,0.96131,0.94481,tdeer_exp4_nyt_second2last,2
0.92379,0.98039,0.95125,tdeer_exp4_nyt_second2last,3
0.96541,0.98348,0.97436,tdeer_exp4_nyt_second2last,4
0.90684,0.97347,0.93897,tdeer_exp4_nyt_second2last,5
0.88832,0.88832,0.88832,tdeer_exp4_webnlg_att_pool,1
0.92544,0.90948,0.91739,tdeer_exp4_webnlg_att_pool,2
0.94186,0.94737,0.94461,tdeer_exp4_webnlg_att_pool,3
0.93729,0.97931,0.95784,tdeer_exp4_webnlg_att_pool,4
0.93548,0.93548,0.93548,tdeer_exp4_webnlg_att_pool,5
0.90355,0.86829,0.88557,tdeer_exp4_webnlg_avg_pool,1
0.92982,0.91775,0.92375,tdeer_exp4_webnlg_avg_pool,2
0.94186,0.94186,0.94186,tdeer_exp4_webnlg_avg_pool,3
0.9571,0.98305,0.9699,tdeer_exp4_webnlg_avg_pool,4
0.90783,0.91204,0.90993,tdeer_exp4_webnlg_avg_pool,5
0.91878,0.87864,0.89826,tdeer_exp4_webnlg_lastfour,1
0.94298,0.9188,0.93073,tdeer_exp4_webnlg_lastfour,2
0.93895,0.9255,0.93218,tdeer_exp4_webnlg_lastfour,3
0.9571,0.98305,0.9699,tdeer_exp4_webnlg_lastfour,4
0.94931,0.90749,0.92793,tdeer_exp4_webnlg_lastfour,5
0.91878,0.8744,0.89604,tdeer_exp4_webnlg_second2last,1
0.92544,0.90948,0.91739,tdeer_exp4_webnlg_second2last,2
0.94186,0.94737,0.94461,tdeer_exp4_webnlg_second2last,3
0.93729,0.9827,0.95946,tdeer_exp4_webnlg_second2last,4
0.89862,0.92857,0.91335,tdeer_exp4_webnlg_second2last,5
